m_worldPositionX,m_worldPositionY,m_worldPositionZ,m_worldVelocityX,m_worldVelocityY,m_worldVelocityZ,m_worldForwardDirX,m_worldForwardDirY,m_worldForwardDirZ,m_worldRightDirX,m_worldRightDirY,m_worldRightDirZ,m_gForceLateral,m_gForceLongitudinal,m_gForceVertical,m_yaw,m_pitch
107.30889892578125,-27.60179328918457,-102.28133392333984,52.05613708496094,0.787763774394989,-37.268310546875,7528,49665,37813,28746,28159,7784,-1.8098983764648438,0.2607560455799103,0.5515452027320862,2.1915061473846436,-0.008581876754760742,0.004495731554925442
112.25010681152344,-27.53135108947754,-105.69659423828125,53.54785919189453,0.8114496469497681,-35.522769927978516,27243,51969,27834,38981,18431,27499,-2.757099151611328,0.34802767634391785,0.03815017268061638,2.145702838897705,-0.008690834045410156,0.005651379935443401
117.26338195800781,-27.469209671020508,-108.8807144165039,55.25828552246094,0.5161718726158142,-33.54170227050781,43118,14337,45503,20800,63230,43118,-2.963596820831299,0.5543750524520874,-0.35948824882507324,2.097306728363037,-0.004152417182922363,0.008128104731440544
123.55577087402344,-27.42074966430664,-112.46834564208984,57.54135513305664,0.4074520170688629,-30.742826461791992,14706,55552,17094,49209,1535,14450,-3.259103298187256,0.6162970066070557,-0.05833951756358147,2.0389020442962646,-0.0024764537811279297,0.007663155905902386
130.01258850097656,-27.397001266479492,-115.70924377441406,59.582088470458984,0.106431744992733,-28.010494232177734,10101,28928,29388,36659,38142,9333,-3.231177806854248,0.6558564305305481,0.03921760618686676,1.9853856563568115,0.0013216733932495117,0.01112257968634367
135.51893615722656,-27.38233757019043,-118.1521224975586,61.18592834472656,0.25327545404434204,-25.61321449279785,1143,44032,59856,6191,38654,631,-3.110673666000366,0.6263702511787415,0.33409932255744934,1.9476099014282227,-0.0008319616317749023,0.011050818488001823
141.22555541992188,-27.355430603027344,-120.41087341308594,62.58124542236328,0.2887655794620514,-23.462265014648438,32120,50944,54228,12075,5630,31096,-2.610542058944702,0.6095412969589233,-0.0190061554312706,1.9149349927902222,-0.0006680488586425781,0.014999888837337494
148.2762908935547,-27.312570571899414,-122.88788604736328,64.0560531616211,0.495789498090744,-21.097362518310547,64633,10497,17113,49702,44797,63097,-2.3452069759368896,0.5849559903144836,0.16827237606048584,1.8784462213516235,-0.003168344497680664,0.018153637647628784
155.3134307861328,-27.255815505981445,-125.06314086914062,65.33504486083984,0.55363929271698,-18.90996742248535,19067,20481,42461,24354,58109,18043,-2.3263914585113525,0.5648545026779175,0.1340845674276352,1.8427002429962158,-0.0054312944412231445,0.016565751284360886
161.36062622070312,-27.196369171142578,-126.71051788330078,66.34828186035156,0.7352678179740906,-16.98063087463379,19836,41217,34273,33310,55549,18812,-2.3483221530914307,0.5469522476196289,0.1907026767730713,1.8114811182022095,-0.008354663848876953,0.016876965761184692
168.86544799804688,-27.106143951416016,-128.4805450439453,67.4808120727539,0.917783260345459,-14.600662231445312,24445,62209,19430,48409,51965,23677,-2.2892138957977295,0.5331459641456604,0.28825512528419495,1.773288607597351,-0.01144707202911377,0.01730125956237316
176.49461364746094,-26.992767333984375,-129.99365234375,68.46676635742188,1.0577459335327148,-12.437006950378418,9854,16642,30442,37909,50429,9342,-1.9549840688705444,0.5215001106262207,0.04964378476142883,1.740219235420227,-0.01442563533782959,0.017475755885243416
184.0245361328125,-26.86189842224121,-131.24798583984375,69.3038330078125,1.3466618061065674,-10.583648681640625,42366,51202,44525,24594,51965,42622,-1.6698030233383179,0.5061526298522949,0.20585697889328003,1.7148972749710083,-0.01903223991394043,0.017289936542510986
191.67091369628906,-26.70213508605957,-132.32440185546875,70.0311279296875,1.5368257761001587,-9.120171546936035,65406,2307,22512,46863,44029,383,-1.2430790662765503,0.4895831346511841,0.13742969930171967,1.6939325332641602,-0.021309494972229004,0.018234239891171455
198.35137939453125,-26.551441192626953,-133.14479064941406,70.58686065673828,1.6117597818374634,-8.198715209960938,11647,12035,58865,10766,41725,12415,-0.9374258518218994,0.47199687361717224,0.015529543161392212,1.681740403175354,-0.022691726684570312,0.018498314544558525
206.20333862304688,-26.365222930908203,-134.0062713623047,71.16948699951172,1.840988278388977,-7.3934431076049805,19583,39427,9971,60428,34045,20863,-0.7222674489021301,0.4515221416950226,0.380719929933548,1.6719757318496704,-0.026044726371765137,0.01943531446158886
212.83450317382812,-26.184297561645508,-134.6635284423828,71.63259887695312,2.023751735687256,-6.756860733032227,25983,58115,17908,53259,26365,27775,-0.7666275501251221,0.441045880317688,0.1759098917245865,1.663273572921753,-0.028394579887390137,0.02034883387386799
219.55809020996094,-25.987354278564453,-135.26133728027344,72.08740997314453,2.182297468185425,-6.008157253265381,33663,14340,49653,22282,19965,35967,-0.9051950573921204,0.42345738410949707,0.1832875907421112,1.651709794998169,-0.031186461448669434,0.021103689447045326
227.82711791992188,-25.718994140625,-135.88702392578125,72.61901092529297,2.5401124954223633,-4.928253173828125,42367,51716,55543,17672,6909,45695,-1.011966586112976,0.40589502453804016,0.32508614659309387,1.6354953050613403,-0.03590357303619385,0.022664567455649376
235.8605499267578,-25.422592163085938,-136.37232971191406,73.09344482421875,2.869995594024658,-3.8988661766052246,48255,21509,53241,21766,44540,52095,-0.9166704416275024,0.3891591727733612,0.3617992699146271,1.6203569173812866,-0.04033982753753662,0.025974974036216736
242.84751892089844,-25.139678955078125,-136.70684814453125,73.4817123413086,2.9899160861968994,-3.147991180419922,51327,33285,7675,3077,23036,55423,-0.7552858591079712,0.38238030672073364,-0.03570201247930527,1.610273838043213,-0.041902780532836914,0.028559137135744095
251.12777709960938,-24.794315338134766,-137.0183563232422,73.81828308105469,3.153886318206787,-2.449103593826294,53119,48389,11772,65283,17404,57727,-0.5062835216522217,0.3781897723674774,0.04993366450071335,1.6020532846450806,-0.04393362998962402,0.029215741902589798
258.1595458984375,-24.498947143554688,-137.23358154296875,74.17960357666016,3.1164121627807617,-2.1052207946777344,54143,47365,45052,32003,13052,58495,-0.3300762176513672,0.3685649037361145,0.1064847931265831,1.598109245300293,-0.0439378023147583,0.029745008796453476
266.6972961425781,-24.13138771057129,-137.45982360839844,74.58883666992188,3.281186580657959,-1.8812423944473267,53631,62981,59388,17411,27900,59263,-0.10638272762298584,0.36177653074264526,0.15321870148181915,1.5963592529296875,-0.04590332508087158,0.027985407039523125
273.9120788574219,-23.806781768798828,-137.64083862304688,74.9128646850586,3.4259016513824463,-1.8970121145248413,52863,9478,52732,24835,24060,59007,0.06814367324113846,0.3431619107723236,-0.0014587340410798788,1.597235083580017,-0.04728257656097412,0.028445277363061905
281.2530517578125,-23.476163864135742,-137.83180236816406,75.23625183105469,3.3684165477752686,-2.0144894123077393,52607,4358,30460,46595,27388,58495,0.12771464884281158,0.33308684825897217,0.001057268469594419,1.5998380184173584,-0.04660224914550781,0.028044110164046288
290.41961669921875,-23.061832427978516,-138.09043884277344,75.61334228515625,3.487879753112793,-2.263033151626587,51583,13830,6908,5380,16636,57471,0.25382277369499207,0.3225369453430176,0.15334628522396088,1.602750301361084,-0.047606468200683594,0.029329612851142883
297.82666015625,-22.724300384521484,-138.32533264160156,75.91361236572266,3.340991973876953,-2.550855875015259,51071,61701,37627,38916,32764,56703,0.3228601813316345,0.31132954359054565,-0.32594212889671326,1.6067603826522827,-0.04546511173248291,0.02740439958870411
305.5704650878906,-22.396202087402344,-138.60243225097656,76.21845245361328,3.1517345905303955,-2.8983006477355957,50559,39941,61178,14341,41980,55423,0.34878838062286377,0.3077423572540283,-0.11344511061906815,1.6116437911987305,-0.04276895523071289,0.026309287175536156
313.3065185546875,-22.083776473999023,-138.91368103027344,76.51041412353516,3.029681444168091,-3.231982707977295,49791,26117,24314,50181,63228,54399,0.28416872024536133,0.30072537064552307,-0.03281772881746292,1.615903615951538,-0.04110109806060791,0.023751290515065193
321.0572509765625,-21.77494239807129,-139.25204467773438,76.79313659667969,3.0552167892456055,-3.434232473373413,49023,26117,7930,262,14589,54143,0.1240697056055069,0.2918938994407654,-0.07546550780534744,1.6177654266357422,-0.04115498065948486,0.02176024578511715
328.85443115234375,-21.475568771362305,-139.60455322265625,77.08362579345703,2.868042230606079,-3.5020740032196045,50047,4101,9978,62981,15869,54143,0.00776966568082571,0.2824662923812866,-0.1416671872138977,1.617447853088379,-0.03852212429046631,0.021605372428894043
338.1379089355469,-21.1453857421875,-140.02330017089844,77.43231201171875,2.631237506866455,-3.4516403675079346,51327,46340,21498,50437,29437,55167,-0.09958625584840775,0.2771265208721161,-0.1450052559375763,1.6159417629241943,-0.03587746620178223,0.019986234605312347
345.8536682128906,-20.8830509185791,-140.361328125,77.70558166503906,2.6117429733276367,-3.338479518890381,52095,41476,36858,35589,15101,55423,-0.14522811770439148,0.2706679105758667,-0.14479410648345947,1.6141682863235474,-0.035251498222351074,0.02169795334339142
353.77044677734375,-20.621862411499023,-140.6931610107422,77.99822998046875,2.5071754455566406,-3.1796047687530518,53631,25860,59642,12805,4349,56191,-0.18415942788124084,0.2831493318080902,-0.2115807831287384,1.6114484071731567,-0.03339552879333496,0.02295611798763275
361.7583923339844,-20.391298294067383,-141.0086212158203,78.29141998291016,1.964706540107727,-3.0042662620544434,56191,37123,14587,57092,56316,56703,-0.17682313919067383,0.29957860708236694,-0.6125528812408447,1.6088840961456299,-0.02691936492919922,0.024598468095064163
369.8811950683594,-20.201717376708984,-141.3106231689453,78.5643310546875,1.8174409866333008,-2.8334810733795166,57215,22275,32507,38148,13053,57983,-0.16178743541240692,0.25824952125549316,0.04492456093430519,1.6066241264343262,-0.02532505989074707,0.021914249286055565
378.25982666015625,-20.01085662841797,-141.60841369628906,78.83229064941406,1.7652150392532349,-2.783125877380371,57471,12035,35835,34564,8701,57983,0.0013570128940045834,0.250955194234848,-0.03122585453093052,1.606211543083191,-0.024097084999084473,0.022448748350143433
386.561279296875,-19.82019805908203,-141.9042205810547,79.07897186279297,1.894842267036438,-2.865567922592163,56703,29443,22267,49412,43516,56703,0.12676845490932465,0.2420678585767746,0.25377708673477173,1.607986569404602,-0.02597498893737793,0.026104465126991272
394.7616271972656,-19.620458602905273,-142.2095489501953,79.31704711914062,1.7790942192077637,-3.0433621406555176,56191,8963,64506,7429,13564,54911,0.17636823654174805,0.23775984346866608,-0.6431407928466797,1.6107746362686157,-0.023322582244873047,0.02967194654047489
403.0285949707031,-19.48625946044922,-142.5380096435547,79.56027221679688,1.0647592544555664,-3.266045093536377,56447,19458,39674,29957,49148,54911,0.20184053480625153,0.23352931439876556,0.16378845274448395,1.6134551763534546,-0.016875386238098145,0.02543935924768448
411.28802490234375,-19.339567184448242,-142.88235473632812,79.78030395507812,1.6169825792312622,-3.3581128120422363,55679,50434,34298,35589,3069,55167,0.04887866973876953,0.22422857582569122,-0.05281419679522514,1.6141449213027954,-0.020648479461669922,0.02310614287853241
419.5096740722656,-19.172399520874023,-143.2301025390625,79.99890899658203,1.7695527076721191,-3.3806278705596924,55167,17667,40442,32005,8956,53631,-0.013268950395286083,0.21824957430362701,0.44297537207603455,1.613703727722168,-0.02425563335418701,0.0302185770124197
427.7701110839844,-19.0271053314209,-143.5794219970703,80.2134780883789,0.6418856382369995,-3.4256887435913086,57471,1537,35834,31749,51195,53119,0.022411247715353966,0.17334043979644775,-1.8146032094955444,1.6136877536773682,-0.0065811872482299805,0.033019378781318665
436.1403503417969,-19.004348754882812,-143.94732666015625,80.44620513916016,0.48555445671081543,-3.600282669067383,55935,27137,10234,57861,23036,52863,0.03740349039435387,0.21903644502162933,1.2642600536346436,1.6168049573898315,-0.009739398956298828,0.02855573035776615
444.53558349609375,-18.9195613861084,-144.33184814453125,80.65419006347656,0.8013375997543335,-3.7741496562957764,54911,46337,57593,11270,12028,51839,0.11154881864786148,0.2087567001581192,-0.23253470659255981,1.6190564632415771,-0.011888384819030762,0.02986019477248192
452.90960693359375,-18.821069717407227,-144.7278594970703,80.85430908203125,0.9250196814537048,-3.844794511795044,54911,29953,55289,13574,37883,50303,-0.0011465448187664151,0.19210714101791382,-0.611728310585022,1.6193315982818604,-0.009702086448669434,0.03459492698311806
461.1607360839844,-18.812252044677734,-145.1236572265625,81.0583267211914,-0.5116636157035828,-3.9205803871154785,55423,57855,54265,11014,41723,50559,0.045067284256219864,0.20919568836688995,-0.4179195463657379,1.619017243385315,0.0026183128356933594,0.034154441207647324
469.5487976074219,-18.818788528442383,-145.53616333007812,81.25520324707031,0.35434216260910034,-4.071878910064697,54399,33536,34297,32262,31740,51327,0.1907038390636444,0.20453651249408722,0.24583445489406586,1.6215542554855347,-0.0026110410690307617,0.027520406991243362
477.9668273925781,-18.804279327392578,-145.97036743164062,81.43915557861328,0.08715495467185974,-4.322826862335205,52607,44288,2041,64774,41468,49791,0.2470453530550003,0.19268645346164703,0.20119063556194305,1.6254371404647827,-0.0038341283798217773,0.02636243775486946
486.06121826171875,-18.80208396911621,-146.41030883789062,81.61093139648438,-0.3609789311885834,-4.527092933654785,51583,37375,48376,16647,46588,49023,0.1336807757616043,0.18015001714229584,-1.2965155839920044,1.6275039911270142,0.004855513572692871,0.02573133446276188
